Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2012","2012","6121","Value","3023","Labour force survey","%","25516","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2013","2013","6121","Value","3023","Labour force survey","%","25218","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2014","2014","6121","Value","3023","Labour force survey","%","25086","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2015","2015","6121","Value","3023","Labour force survey","%","24245","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2016","2016","6121","Value","3023","Labour force survey","%","24141","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2017","2017","6121","Value","3023","Labour force survey","%","23954","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2018","2018","6121","Value","3023","Labour force survey","%","23885","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2019","2019","6121","Value","3023","Labour force survey","%","24003","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2020","2020","6121","Value","3023","Labour force survey","%","24670","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2021","2021","6121","Value","3023","Labour force survey","%","24324","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2022","2022","6121","Value","3023","Labour force survey","%","25544","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2000","2000","6121","Value","3023","Labour force survey","%","16076","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2001","2001","6121","Value","3023","Labour force survey","%","14994","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2002","2002","6121","Value","3023","Labour force survey","%","15012","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2003","2003","6121","Value","3023","Labour force survey","%","15837","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2004","2004","6121","Value","3023","Labour force survey","%","14789","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2005","2005","6121","Value","3023","Labour force survey","%","14418","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2006","2006","6121","Value","3023","Labour force survey","%","13767","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","3","Female","2007","2007","6121","Value","3023","Labour force survey","%","15223","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
